train_size,train_recall_mean,train_recall_std,validation_recall_mean,validation_recall_std
37,0.9134502923976608,0.09231619771074207,0.7619047619047619,0.09741462167242938
75,0.6930587219961033,0.2026358125356984,0.5515151515151515,0.23511714837904027
113,0.805841736694678,0.052765399280390146,0.7705627705627706,0.05588021923560864
151,0.8003971619176843,0.12744070686997735,0.7333333333333333,0.18698467598757432
189,0.7571237636995456,0.10706216755154081,0.7242424242424242,0.17420948305217954
