metric,mean,std,min,max
accuracy,0.8386524822695035,0.04949945785101959,0.7083333333333334,0.9574468085106383
precision_condition_1,0.8406396490608499,0.066556228401234,0.6666666666666666,1.0
recall_condition_1,0.8066378066378066,0.07974906821977343,0.5909090909090909,1.0
f1_condition_1,0.8205241983947512,0.05708533057848505,0.6666666666666666,0.95
roc_auc,0.9112324897324898,0.03575684098628913,0.7927272727272726,0.993006993006993
medical_cost,0.5170212765957446,0.18601912491352995,0.0851063829787234,1.0425531914893618
false_negatives,4.213333333333333,1.7401175099819728,0.0,9.0
false_positives,3.433333333333333,1.63196536788275,0.0,8.0
