slug,modelo,cv_accuracy_mean,cv_accuracy_std,cv_precision_condition_1_mean,cv_precision_condition_1_std,cv_recall_condition_1_mean,cv_recall_condition_1_std,cv_f1_condition_1_mean,cv_f1_condition_1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_medical_cost_mean,cv_medical_cost_std,cv_false_negatives_mean,cv_false_negatives_std,cv_false_positives_mean,cv_false_positives_std,test_accuracy,test_precision_condition_1,test_recall_condition_1,test_f1_condition_1,test_medical_cost,test_roc_auc,test_true_negatives,test_false_positives,test_false_negatives,test_true_positives,rank,ranking_reason
logistic_regression,Regresión Logística,0.8497695035460993,0.0508162247212045,0.8572640839778387,0.0652657375788451,0.8135209235209235,0.0853388527112128,0.8317355378592605,0.0591710951424302,0.9159777333777334,0.0350634983769709,0.4935047281323877,0.1983890203664615,4.066666666666666,1.8669382991881096,3.053333333333333,1.6334862732578137,0.8166666666666667,0.7931034482758621,0.8214285714285714,0.8070175438596491,0.5166666666666667,0.8962053571428571,26.0,6.0,5.0,23.0,1,"Recall CV=0.8135, coste CV=0.4935, FN test=5."
svm,SVM RBF,0.8386524822695035,0.0494994578510195,0.8406396490608499,0.066556228401234,0.8066378066378066,0.0797490682197734,0.8205241983947512,0.057085330578485,0.9112324897324898,0.0357568409862891,0.5170212765957446,0.1860191249135299,4.213333333333333,1.7401175099819728,3.433333333333333,1.63196536788275,0.8,0.75,0.8571428571428571,0.8,0.4666666666666667,0.8816964285714286,24.0,8.0,4.0,24.0,2,"Recall CV=0.8066, coste CV=0.5170, FN test=4."
xgboost,XGBoost,0.8414952718676124,0.0464501451996906,0.8472204862965721,0.0671822449329739,0.8064357864357864,0.0725367154489668,0.8235359191999353,0.0519452237658588,0.912794871794872,0.036099593187349,0.5146985815602837,0.1673304290633152,4.22,1.5880003042956112,3.293333333333333,1.7322316237184596,0.8,0.7666666666666667,0.8214285714285714,0.7931034482758621,0.5333333333333333,0.8895089285714286,25.0,7.0,5.0,23.0,3,"Recall CV=0.8064, coste CV=0.5147, FN test=5."
knn,KNN,0.8224881796690308,0.0495366777729981,0.8260251459007483,0.0714728958230486,0.7852813852813852,0.0762327739297446,0.8022028026655992,0.0560889014082738,0.8806341325341326,0.0476708336306581,0.5725118203309691,0.1774365199470332,4.68,1.664150225536854,3.733333333333333,1.7596013378060804,0.8166666666666667,0.7931034482758621,0.8214285714285714,0.8070175438596491,0.5166666666666667,0.8487723214285716,26.0,6.0,5.0,23.0,4,"Recall CV=0.7853, coste CV=0.5725, FN test=5."
naive_bayes,Naive Bayes,0.8017228132387707,0.0726850785471234,0.8253819048368166,0.0817315766753918,0.7281673881673882,0.1495704299160773,0.7643334264859916,0.1076120699682524,0.8830749916749916,0.0506397810087852,0.698442671394799,0.3370730875557129,5.926666666666667,3.2709760189171515,3.473333333333333,2.1447506282248043,0.8333333333333334,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.5,0.8381696428571428,27.0,5.0,5.0,23.0,5,"Recall CV=0.7282, coste CV=0.6984, FN test=5."
decision_tree,Árbol de Decisión CART,0.7764213947990544,0.0512818197847575,0.7864150175678394,0.081013886741364,0.7192929292929292,0.0953582413274881,0.7457909728882492,0.0627133488300411,0.8252730047730048,0.0549457308220017,0.7399379432624112,0.2090234514813463,6.113333333333333,2.0677669006097545,4.48,2.1354156504062622,0.7333333333333333,0.6875,0.7857142857142857,0.7333333333333333,0.6666666666666666,0.8247767857142858,22.0,10.0,6.0,22.0,6,"Recall CV=0.7193, coste CV=0.7399, FN test=6."
mlp,Red Neuronal MLP,0.7320449172576832,0.0755044797002124,0.7860969574489562,0.0946207352190825,0.5720202020202021,0.1548671677057157,0.6523677795116675,0.1247260877876297,0.805087579087579,0.082060233604511,1.055082742316785,0.3544387731117829,9.326666666666666,3.372802126340232,3.373333333333333,1.6034638121479416,0.5833333333333334,0.6363636363636364,0.25,0.358974358974359,1.8166666666666669,0.7142857142857143,28.0,4.0,21.0,7.0,7,"Recall CV=0.5720, coste CV=1.0551, FN test=21."
