rank,modelo,ranking_reason,cv_recall_condition_1_mean,cv_recall_condition_1_std,cv_roc_auc_mean,cv_medical_cost_mean,cv_false_negatives_mean,test_recall_condition_1,test_roc_auc,test_false_negatives,test_false_positives,test_medical_cost
1,Regresión Logística,"Recall CV=0.8135, coste CV=0.4935, FN test=5.",0.8135209235209235,0.0853388527112128,0.9159777333777334,0.4935047281323877,4.066666666666666,0.8214285714285714,0.8962053571428571,5.0,6.0,0.5166666666666667
2,SVM RBF,"Recall CV=0.8066, coste CV=0.5170, FN test=4.",0.8066378066378066,0.0797490682197734,0.9112324897324898,0.5170212765957446,4.213333333333333,0.8571428571428571,0.8816964285714286,4.0,8.0,0.4666666666666667
3,XGBoost,"Recall CV=0.8064, coste CV=0.5147, FN test=5.",0.8064357864357864,0.0725367154489668,0.912794871794872,0.5146985815602837,4.22,0.8214285714285714,0.8895089285714286,5.0,7.0,0.5333333333333333
4,KNN,"Recall CV=0.7853, coste CV=0.5725, FN test=5.",0.7852813852813852,0.0762327739297446,0.8806341325341326,0.5725118203309691,4.68,0.8214285714285714,0.8487723214285716,5.0,6.0,0.5166666666666667
5,Naive Bayes,"Recall CV=0.7282, coste CV=0.6984, FN test=5.",0.7281673881673882,0.1495704299160773,0.8830749916749916,0.698442671394799,5.926666666666667,0.8214285714285714,0.8381696428571428,5.0,5.0,0.5
6,Árbol de Decisión CART,"Recall CV=0.7193, coste CV=0.7399, FN test=6.",0.7192929292929292,0.0953582413274881,0.8252730047730048,0.7399379432624112,6.113333333333333,0.7857142857142857,0.8247767857142858,6.0,10.0,0.6666666666666666
7,Red Neuronal MLP,"Recall CV=0.5720, coste CV=1.0551, FN test=21.",0.5720202020202021,0.1548671677057157,0.805087579087579,1.055082742316785,9.326666666666666,0.25,0.7142857142857143,21.0,4.0,1.8166666666666669
