modelo,cv_recall_condition_1_mean,cv_medical_cost_mean,cv_roc_auc_mean,test_recall_condition_1,test_false_negatives,test_false_positives,test_medical_cost,delta_cv_recall,delta_cv_medical_cost
SVM RBF,1.0,0.5400709219858156,0.8463306693306695,0.0,28.0,0.0,2.333333333333333,0.1933621933621934,0.02304964539007104
Regresion Logistica,0.8479653679653678,0.4216666666666666,0.9224322344322344,0.8214285714285714,5.0,8.0,0.55,0.03444444444444428,-0.07183806146572114
KNN,0.7954545454545454,0.5371719858156028,0.909737862137862,0.8214285714285714,5.0,5.0,0.5,0.010173160173160167,-0.035339834515366375
