slug,modelo,best_params,cv_recall_condition_1_mean,cv_recall_condition_1_std,cv_medical_cost_mean,cv_medical_cost_std,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_precision_condition_1,test_recall_condition_1,test_f1_condition_1,test_medical_cost,test_roc_auc,test_true_negatives,test_false_positives,test_false_negatives,test_true_positives,task3_cv_recall_condition_1_mean,task3_cv_medical_cost_mean,delta_cv_recall,delta_cv_medical_cost,task3_test_recall_condition_1,task3_test_medical_cost,delta_test_recall,delta_test_medical_cost
logistic_regression,Regresion Logistica,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.8479653679653678,0.0719859663282581,0.4216666666666666,0.1688622229943983,0.9224322344322344,0.0351465226879172,0.7833333333333333,0.7419354838709677,0.8214285714285714,0.7796610169491526,0.55,0.8872767857142857,24.0,8.0,5.0,23.0,0.8135209235209235,0.4935047281323877,0.03444444444444428,-0.07183806146572114,0.8214285714285714,0.5166666666666667,0.0,0.033333333333333326
svm,SVM RBF,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale'}",0.8336796536796537,0.0723233474868631,0.4601063829787234,0.1681230692982377,0.9124331668331668,0.038101968842954,0.8,0.75,0.8571428571428571,0.8,0.4666666666666667,0.8794642857142856,24.0,8.0,4.0,24.0,0.8066378066378066,0.5170212765957446,0.02704184704184709,-0.05691489361702118,0.8571428571428571,0.4666666666666667,0.0,0.0
knn,KNN,"{'model__n_neighbors': 7, 'model__p': 1, 'model__weights': 'distance'}",0.7954545454545454,0.0867684638994354,0.5371719858156028,0.2078676326940291,0.909737862137862,0.0432832276521518,0.8333333333333334,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.5,0.85546875,27.0,5.0,5.0,23.0,0.7852813852813852,0.5725118203309691,0.010173160173160167,-0.035339834515366375,0.8214285714285714,0.5166666666666667,0.0,-0.01666666666666672
