PC1,PC2,condition
-1.5088224724401955,1.3179707970868937,1
0.32963390355125277,-0.36332309343136115,1
0.9117700953683339,-1.1317271385107541,0
2.693875224644315,-0.47476378205786407,0
-1.0018489294616562,1.1876253395799963,0
-1.2058669311875185,-0.6621933543017586,0
-1.753814886507893,0.8057961795334432,1
-2.738375960116455,0.46796394103282196,1
-2.5387789186383705,0.9533488332003336,0
2.0019790726246116,0.06813571528219392,0
0.9923948898996943,0.36049608021032115,0
-0.3675871196378654,0.40620927707769866,0
-0.7600472309527798,0.36644591797050874,0
1.2851526784224474,1.7624541112727954,0
0.6514747308109322,1.6787600622879006,0
0.8117391311559207,-0.8158466963065654,1
-1.352797533891286,0.0231856753230808,1
0.826837777743011,0.6704750102007057,1
-1.5616701270241211,-0.551198411239007,1
2.6888517689014586,-0.14066726004578078,0
-0.99106466646047,-2.097086782322358,1
0.35431819037454393,3.0757734436319595,1
2.3955636065215535,0.39635125775401026,0
1.562213521220549,1.211216104022418,0
2.147818427909589,0.3317886055195331,0
-1.9299182025810107,-1.8606490513938878,1
-1.8702642821824242,-0.36537058132025696,1
-3.4803429831029424,1.514299070934312,1
-0.23596201412583626,-0.9326985085678868,0
-0.004911778151527858,-2.417839297429245,1
0.06586530365670865,0.5775164556767247,0
-2.166167177865016,0.3911597521412317,1
-0.46125419729491,2.601206119312668,0
-0.5216431822586513,1.6015274058763054,0
-1.0624782259642982,-0.38546374434469655,1
-1.7415677929799376,0.446573764262046,1
0.18634078525127606,-0.18463656336522694,0
-0.2548386372449609,1.5821770373537478,0
-0.9041648572759774,-0.4857642329124431,0
-0.2950263413210108,0.6074174306277859,0
1.1364006536891305,0.13037856834811729,0
0.38413032278250314,-0.11645261674481366,1
0.7994512603137591,-0.1604651077582881,0
1.9691326252441697,0.06480066668268167,0
0.5481550782139897,2.0236313229891567,1
-0.8386514696949104,-1.0361839758150717,1
0.14012100053046797,0.427763050902682,0
-1.5552106172563336,0.527987532405762,1
-1.7563076530674018,0.2576158005782582,0
1.040473822257887,0.8360167096664551,0
-0.7860615360781951,-0.5740631610673795,1
0.295407679004226,-2.457707870798602,1
-0.1002917750411205,-0.6931406378105889,1
-0.03200786350840843,-2.1089828613484864,0
-2.000642811543554,-1.1695470205876664,1
1.7138027291343623,0.29840360682167166,1
-0.4023668693852852,1.6441666898842469,0
-1.800239354397877,0.19926396742744024,1
-1.1429294377375387,0.3047243308881441,0
-0.27950366779338576,-0.1742841089670194,1
-1.4430893414181012,-0.36209929592719936,1
-0.5669488713826144,0.02801651154459356,1
0.9766365832270757,0.565842787485505,0
2.8071898904042896,-0.9366487178548079,0
-0.2627500946484199,0.5828571902240609,1
1.4248114871092925,0.1763334572234337,0
0.7246583846745597,-0.9635603162356566,0
