feature,importance_mean,importance_std
feature_8,0.0964285714285714,0.05620510301958512
feature_12,0.05476190476190473,0.04096345365258392
feature_5,0.02857142857142856,0.025084889887744606
feature_4,0.022619047619047608,0.017210514636667805
feature_2,0.01904761904761904,0.03772137980417822
feature_7,0.013095238095238089,0.017210514636667805
feature_3,0.01071428571428571,0.032142857142857126
feature_10,0.0059523809523809494,0.02928184256249723
feature_9,0.0,0.0
feature_1,-0.00714285714285714,0.01428571428571428
feature_13,-0.00714285714285714,0.02672612419124243
feature_11,-0.015476190476190477,0.021983553943594518
feature_6,-0.019047619047619042,0.02392827528838307
