metric,mean,std,min,max
accuracy,0.8414952718676124,0.04645014519969061,0.723404255319149,0.9574468085106383
precision_condition_1,0.8472204862965721,0.06718224493297395,0.6785714285714286,1.0
recall_condition_1,0.8064357864357864,0.0725367154489668,0.5909090909090909,1.0
f1_condition_1,0.8235359191999353,0.051945223765858826,0.6666666666666666,0.9565217391304348
roc_auc,0.9127948717948721,0.036099593187349,0.7872727272727272,0.9836363636363636
medical_cost,0.5146985815602837,0.16733042906331527,0.0425531914893617,1.0425531914893618
false_negatives,4.22,1.5880003042956112,0.0,9.0
false_positives,3.2933333333333334,1.7322316237184596,0.0,9.0
