accuracy,precision_condition_1,recall_condition_1,f1_condition_1,medical_cost,roc_auc,true_negatives,false_positives,false_negatives,true_positives,fold,repeat,fold_in_repeat,train_condition_1_pct,validation_condition_1_pct
0.9166666666666666,0.95,0.8636363636363636,0.9047619047619048,0.3333333333333333,0.9772727272727273,25.0,1.0,3.0,19.0,1,1,1,46.03174603174603,45.83333333333333
0.8333333333333334,0.85,0.7727272727272727,0.8095238095238095,0.5833333333333334,0.9108391608391609,23.0,3.0,5.0,17.0,2,1,2,46.03174603174603,45.83333333333333
0.851063829787234,0.8,0.9090909090909091,0.851063829787234,0.3191489361702128,0.9054545454545455,20.0,5.0,2.0,20.0,3,1,3,45.78947368421053,46.808510638297875
0.8085106382978723,0.8095238095238095,0.7727272727272727,0.7906976744186046,0.6170212765957447,0.8563636363636363,21.0,4.0,5.0,17.0,4,1,4,45.78947368421053,46.808510638297875
0.8297872340425532,0.9333333333333333,0.6666666666666666,0.7777777777777778,0.7659574468085106,0.913919413919414,25.0,1.0,7.0,14.0,5,1,5,46.31578947368421,44.680851063829785
0.8541666666666666,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.4791666666666667,0.8741258741258741,23.0,3.0,4.0,18.0,6,2,1,46.03174603174603,45.83333333333333
0.8541666666666666,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.3958333333333333,0.9370629370629371,22.0,4.0,3.0,19.0,7,2,2,46.03174603174603,45.83333333333333
0.8936170212765957,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.44680851063829785,0.9327272727272727,24.0,1.0,4.0,18.0,8,2,3,45.78947368421053,46.808510638297875
0.8085106382978723,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.7021276595744681,0.9090909090909091,22.0,3.0,6.0,16.0,9,2,4,45.78947368421053,46.808510638297875
0.8085106382978723,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.7021276595744681,0.9084249084249084,23.0,3.0,6.0,15.0,10,2,5,46.31578947368421,44.680851063829785
0.8333333333333334,0.8888888888888888,0.7272727272727273,0.8,0.6666666666666666,0.9318181818181819,24.0,2.0,6.0,16.0,11,3,1,46.03174603174603,45.83333333333333
