param_model__C,param_model__class_weight,param_model__gamma,rank_test_recall_condition_1,mean_test_recall_condition_1,std_test_recall_condition_1,mean_test_neg_medical_cost,std_test_neg_medical_cost,mean_test_roc_auc,std_test_roc_auc,mean_train_recall_condition_1,mean_train_neg_medical_cost,mean_train_roc_auc,params,mean_test_medical_cost,std_test_medical_cost,mean_train_medical_cost
1.0,balanced,scale,5,0.8336796536796537,0.07232334748686314,-0.4601063829787234,0.16812306929823773,0.9124331668331669,0.03810196884295404,0.9112330198537094,-0.23082205513784462,0.9778170979970444,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale'}",0.4601063829787234,0.16812306929823773,0.23082205513784462
1.0,balanced,0.1,6,0.8327705627705627,0.07222669668549374,-0.4621897163120567,0.16770041774632863,0.9123970695970697,0.03789004561230496,0.9094017763845349,-0.2359905318852687,0.9768519026595938,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 0.1}",0.4621897163120567,0.16770041774632863,0.2359905318852687
0.1,balanced,0.01,2,0.8787445887445888,0.08411144010509236,-0.4651684397163121,0.18406732148104502,0.882864602064602,0.05592057345974037,0.8899085684430511,-0.4365959342801448,0.8950788997818034,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 0.01}",0.4651684397163121,0.18406732148104502,0.4365959342801448
0.1,balanced,scale,3,0.845108225108225,0.08283701076740665,-0.46801418439716314,0.20451225282671878,0.894959507159507,0.051285280205096574,0.8704022988505747,-0.39452074631022,0.927687302284946,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 'scale'}",0.46801418439716314,0.20451225282671878,0.39452074631022
0.1,balanced,0.1,4,0.8441991341991342,0.08337519609662455,-0.46924645390070924,0.20606706269409691,0.8948157176157175,0.05137732422725187,0.8669670846394985,-0.40148426622110833,0.9269342731157656,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 0.1}",0.46924645390070924,0.20606706269409691,0.40148426622110833
10.0,balanced,0.01,7,0.811038961038961,0.07578014506114071,-0.5055851063829787,0.1760100542460984,0.916769696969697,0.034967641248248985,0.8715517241379309,-0.3395650236702869,0.9547972149466862,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__gamma': 0.01}",0.5055851063829787,0.1760100542460984,0.3395650236702869
1.0,,scale,9,0.8100432900432901,0.08151247314398889,-0.5078989361702128,0.1953615441793565,0.9117117549117549,0.03823140911969172,0.8999947753396029,-0.25012197159565575,0.9773563596340727,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale'}",0.5078989361702128,0.1953615441793565,0.25012197159565575
1.0,,0.1,9,0.8100432900432901,0.08400896629851709,-0.5079078014184397,0.2011550484475091,0.9123226107226108,0.038336863492061654,0.8988453500522465,-0.2528643831801726,0.9764735342554913,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 0.1}",0.5079078014184397,0.2011550484475091,0.2528643831801726
1.0,balanced,0.01,11,0.8080086580086581,0.0724448882887601,-0.5085815602836878,0.17568018310005173,0.9137421245421246,0.04205340580859019,0.8286624869383492,-0.4489234196602617,0.933073168022015,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 0.01}",0.5085815602836878,0.17568018310005173,0.4489234196602617
10.0,,0.01,12,0.800952380952381,0.07424710648721423,-0.5199290780141843,0.1753099857884514,0.9185561105561103,0.035071013049719546,0.8559508881922675,-0.36931996658312444,0.9539292223620636,"{'model__C': 10.0, 'model__class_weight': None, 'model__gamma': 0.01}",0.5199290780141843,0.1753099857884514,0.36931996658312444
