train_size,train_recall_mean,train_recall_std,validation_recall_mean,validation_recall_std
37,0.20935672514619882,0.29329249041790295,0.16363636363636364,0.31590091552534644
75,0.6609693270983593,0.1343293217286423,0.5341991341991342,0.14793544946892387
113,0.7103627450980392,0.13509544947573315,0.5709956709956711,0.18902189803583644
151,0.5923874943464496,0.16780328747071077,0.5675324675324676,0.17957803654486865
189,0.6744720662924352,0.1110316369174656,0.6246753246753247,0.1534859458417043
