accuracy,precision_condition_1,recall_condition_1,f1_condition_1,medical_cost,roc_auc,true_negatives,false_positives,false_negatives,true_positives,fold,repeat,fold_in_repeat,train_condition_1_pct,validation_condition_1_pct
0.8958333333333334,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.4375,0.9283216783216782,25.0,1.0,4.0,18.0,1,1,1,46.03174603174603,45.83333333333333
0.7083333333333334,0.7222222222222222,0.5909090909090909,0.65,1.0416666666666667,0.8583916083916084,21.0,5.0,9.0,13.0,2,1,2,46.03174603174603,45.83333333333333
0.7659574468085106,0.8666666666666667,0.5909090909090909,0.7027027027027027,1.0,0.7999999999999999,23.0,2.0,9.0,13.0,3,1,3,45.78947368421053,46.808510638297875
0.6595744680851063,0.7142857142857143,0.45454545454545453,0.5555555555555556,1.3617021276595744,0.7436363636363637,21.0,4.0,12.0,10.0,4,1,4,45.78947368421053,46.808510638297875
0.8085106382978723,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.7021276595744681,0.8315018315018315,23.0,3.0,6.0,15.0,5,1,5,46.31578947368421,44.680851063829785
0.6875,0.7333333333333333,0.5,0.5945945945945946,1.2291666666666667,0.7937062937062936,22.0,4.0,11.0,11.0,6,2,1,46.03174603174603,45.83333333333333
0.6875,0.7058823529411765,0.5454545454545454,0.6153846153846154,1.1458333333333333,0.743006993006993,21.0,5.0,10.0,12.0,7,2,2,46.03174603174603,45.83333333333333
0.7021276595744681,0.7857142857142857,0.5,0.6111111111111112,1.2340425531914894,0.729090909090909,22.0,3.0,11.0,11.0,8,2,3,45.78947368421053,46.808510638297875
0.6595744680851063,0.75,0.4090909090909091,0.5294117647058824,1.446808510638298,0.7418181818181818,22.0,3.0,13.0,9.0,9,2,4,45.78947368421053,46.808510638297875
0.6595744680851063,0.6923076923076923,0.42857142857142855,0.5294117647058824,1.3617021276595744,0.8021978021978021,22.0,4.0,12.0,9.0,10,2,5,46.31578947368421,44.680851063829785
0.7291666666666666,0.7368421052631579,0.6363636363636364,0.6829268292682927,0.9375,0.7849650349650349,21.0,5.0,8.0,14.0,11,3,1,46.03174603174603,45.83333333333333
0.6666666666666666,0.65,0.5909090909090909,0.6190476190476191,1.0833333333333333,0.7744755244755246,19.0,7.0,9.0,13.0,12,3,2,46.03174603174603,45.83333333333333
0.7872340425531915,1.0,0.5454545454545454,0.7058823529411765,1.0638297872340425,0.849090909090909,25.0,0.0,10.0,12.0,13,3,3,45.78947368421053,46.808510638297875
0.851063829787234,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.48936170212765956,0.9090909090909091,22.0,3.0,4.0,18.0,14,3,4,45.78947368421053,46.808510638297875
0.7872340425531915,0.8235294117647058,0.6666666666666666,0.7368421052631579,0.8085106382978723,0.8736263736263736,23.0,3.0,7.0,14.0,15,3,5,46.31578947368421,44.680851063829785
0.7083333333333334,0.7,0.6363636363636364,0.6666666666666666,0.9583333333333334,0.7902097902097902,20.0,6.0,8.0,14.0,16,4,1,46.03174603174603,45.83333333333333
0.75,0.7777777777777778,0.6363636363636364,0.7,0.9166666666666666,0.8548951048951049,22.0,4.0,8.0,14.0,17,4,2,46.03174603174603,45.83333333333333
0.5957446808510638,0.6666666666666666,0.2727272727272727,0.3870967741935484,1.7659574468085106,0.7418181818181817,22.0,3.0,16.0,6.0,18,4,3,45.78947368421053,46.808510638297875
0.9148936170212766,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.2553191489361702,0.9527272727272726,23.0,2.0,2.0,20.0,19,4,4,45.78947368421053,46.808510638297875
0.7446808510638298,0.7647058823529411,0.6190476190476191,0.6842105263157895,0.9361702127659575,0.7912087912087912,22.0,4.0,8.0,13.0,20,4,5,46.31578947368421,44.680851063829785
0.6875,0.7058823529411765,0.5454545454545454,0.6153846153846154,1.1458333333333333,0.7937062937062938,21.0,5.0,10.0,12.0,21,5,1,46.03174603174603,45.83333333333333
0.625,0.7,0.3181818181818182,0.4375,1.625,0.673076923076923,23.0,3.0,15.0,7.0,22,5,2,46.03174603174603,45.83333333333333
