feature,mean_abs_coefficient,max_abs_coefficient,signed_coefficient_sum
feature_7,1.0935896437086767,1.0935896437086767,1.0935896437086767
feature_8,0.5640634962154635,2.256253984861854,-2.256253984861854
feature_3,0.4935778747893382,1.2407151154463425,-1.0006966065246705
feature_2,0.4751017139456965,1.900406855782786,1.900406855782786
feature_12,0.4493841792286422,0.8958199858715511,0.4434874340571754
feature_4,0.3948548583730309,0.3948548583730309,0.3948548583730309
feature_11,0.35710413692697757,0.35710413692697757,0.35710413692697757
feature_13,0.2375002804621258,0.2375002804621258,0.2375002804621258
feature_10,0.2084025946589641,0.2084025946589641,-0.2084025946589641
feature_6,0.11443344180394267,0.11443344180394267,0.11443344180394267
feature_1,0.0,0.0,0.0
feature_5,0.0,0.0,0.0
feature_9,0.0,0.0,0.0
