accuracy,precision_condition_1,recall_condition_1,f1_condition_1,medical_cost,roc_auc,true_negatives,false_positives,false_negatives,true_positives,fold,repeat,fold_in_repeat,train_condition_1_pct,validation_condition_1_pct
0.7708333333333334,0.7037037037037037,0.8636363636363636,0.7755102040816326,0.4791666666666667,0.8155594405594406,18.0,8.0,3.0,19.0,1,1,1,46.03174603174603,45.83333333333333
0.8125,0.8095238095238095,0.7727272727272727,0.7906976744186046,0.6041666666666666,0.8636363636363636,22.0,4.0,5.0,17.0,2,1,2,46.03174603174603,45.83333333333333
0.7659574468085106,0.7894736842105263,0.6818181818181818,0.7317073170731707,0.8297872340425532,0.8336363636363637,21.0,4.0,7.0,15.0,3,1,3,45.78947368421053,46.808510638297875
0.7446808510638298,0.7777777777777778,0.6363636363636364,0.7,0.9361702127659575,0.7572727272727273,21.0,4.0,8.0,14.0,4,1,4,45.78947368421053,46.808510638297875
0.851063829787234,1.0,0.6666666666666666,0.8,0.7446808510638298,0.8452380952380951,26.0,0.0,7.0,14.0,5,1,5,46.31578947368421,44.680851063829785
0.75,0.75,0.6818181818181818,0.7142857142857143,0.8333333333333334,0.7604895104895105,21.0,5.0,7.0,15.0,6,2,1,46.03174603174603,45.83333333333333
0.8125,0.8823529411764706,0.6818181818181818,0.7692307692307693,0.7708333333333334,0.8802447552447552,24.0,2.0,7.0,15.0,7,2,2,46.03174603174603,45.83333333333333
0.7659574468085106,0.7391304347826086,0.7727272727272727,0.7555555555555555,0.6595744680851063,0.8427272727272728,19.0,6.0,5.0,17.0,8,2,3,45.78947368421053,46.808510638297875
0.7659574468085106,0.7894736842105263,0.6818181818181818,0.7317073170731707,0.8297872340425532,0.8127272727272729,21.0,4.0,7.0,15.0,9,2,4,45.78947368421053,46.808510638297875
0.6808510638297872,0.6875,0.5238095238095238,0.5945945945945946,1.1702127659574468,0.7811355311355312,21.0,5.0,10.0,11.0,10,2,5,46.31578947368421,44.680851063829785
0.7916666666666666,0.8,0.7272727272727273,0.7619047619047619,0.7083333333333334,0.8470279720279721,22.0,4.0,6.0,16.0,11,3,1,46.03174603174603,45.83333333333333
0.7083333333333334,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.7916666666666666,0.7534965034965035,18.0,8.0,6.0,16.0,12,3,2,46.03174603174603,45.83333333333333
0.7872340425531915,0.9285714285714286,0.5909090909090909,0.7222222222222222,0.9787234042553191,0.8172727272727273,24.0,1.0,9.0,13.0,13,3,3,45.78947368421053,46.808510638297875
0.7659574468085106,0.7391304347826086,0.7727272727272727,0.7555555555555555,0.6595744680851063,0.83,19.0,6.0,5.0,17.0,14,3,4,45.78947368421053,46.808510638297875
0.7659574468085106,0.7777777777777778,0.6666666666666666,0.717948717948718,0.8297872340425532,0.8223443223443223,22.0,4.0,7.0,14.0,15,3,5,46.31578947368421,44.680851063829785
0.8125,0.76,0.8636363636363636,0.8085106382978723,0.4375,0.8409090909090909,20.0,6.0,3.0,19.0,16,4,1,46.03174603174603,45.83333333333333
0.8958333333333334,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.4375,0.9047202797202798,25.0,1.0,4.0,18.0,17,4,2,46.03174603174603,45.83333333333333
0.7446808510638298,0.75,0.6818181818181818,0.7142857142857143,0.851063829787234,0.7827272727272727,20.0,5.0,7.0,15.0,18,4,3,45.78947368421053,46.808510638297875
0.7659574468085106,0.7619047619047619,0.7272727272727273,0.7441860465116279,0.7446808510638298,0.85,20.0,5.0,6.0,16.0,19,4,4,45.78947368421053,46.808510638297875
0.7446808510638298,0.7647058823529411,0.6190476190476191,0.6842105263157895,0.9361702127659575,0.7893772893772895,22.0,4.0,8.0,13.0,20,4,5,46.31578947368421,44.680851063829785
0.8541666666666666,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.3958333333333333,0.8951048951048951,22.0,4.0,3.0,19.0,21,5,1,46.03174603174603,45.83333333333333
0.8125,0.7241379310344828,0.9545454545454546,0.8235294117647058,0.2708333333333333,0.9090909090909092,18.0,8.0,1.0,21.0,22,5,2,46.03174603174603,45.83333333333333
0.7659574468085106,0.7391304347826086,0.7727272727272727,0.7555555555555555,0.6595744680851063,0.7972727272727274,19.0,6.0,5.0,17.0,23,5,3,45.78947368421053,46.808510638297875
0.6170212765957447,0.6,0.5454545454545454,0.5714285714285714,1.2340425531914894,0.6081818181818183,17.0,8.0,10.0,12.0,24,5,4,45.78947368421053,46.808510638297875
0.8723404255319149,1.0,0.7142857142857143,0.8333333333333334,0.6382978723404256,0.9139194139194138,26.0,0.0,6.0,15.0,25,5,5,46.31578947368421,44.680851063829785
0.6875,0.6666666666666666,0.6363636363636364,0.6511627906976745,0.9791666666666666,0.7281468531468531,19.0,7.0,8.0,14.0,26,6,1,46.03174603174603,45.83333333333333
0.8125,0.782608695652174,0.8181818181818182,0.8,0.5208333333333334,0.8304195804195804,21.0,5.0,4.0,18.0,27,6,2,46.03174603174603,45.83333333333333
0.7872340425531915,0.75,0.8181818181818182,0.782608695652174,0.5531914893617021,0.8154545454545455,19.0,6.0,4.0,18.0,28,6,3,45.78947368421053,46.808510638297875
0.8085106382978723,0.782608695652174,0.8181818181818182,0.8,0.5319148936170213,0.8509090909090908,20.0,5.0,4.0,18.0,29,6,4,45.78947368421053,46.808510638297875
0.851063829787234,0.9375,0.7142857142857143,0.8108108108108109,0.6595744680851063,0.8562271062271063,25.0,1.0,6.0,15.0,30,6,5,46.31578947368421,44.680851063829785
0.8125,0.782608695652174,0.8181818181818182,0.8,0.5208333333333334,0.8784965034965035,21.0,5.0,4.0,18.0,31,7,1,46.03174603174603,45.83333333333333
0.7291666666666666,0.7368421052631579,0.6363636363636364,0.6829268292682927,0.9375,0.7867132867132868,21.0,5.0,8.0,14.0,32,7,2,46.03174603174603,45.83333333333333
0.7872340425531915,0.9285714285714286,0.5909090909090909,0.7222222222222222,0.9787234042553191,0.7809090909090909,24.0,1.0,9.0,13.0,33,7,3,45.78947368421053,46.808510638297875
0.7021276595744681,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.8085106382978723,0.7036363636363636,17.0,8.0,6.0,16.0,34,7,4,45.78947368421053,46.808510638297875
0.7446808510638298,0.8,0.5714285714285714,0.6666666666666666,1.0212765957446808,0.8067765567765568,23.0,3.0,9.0,12.0,35,7,5,46.31578947368421,44.680851063829785
0.8333333333333334,0.8888888888888888,0.7272727272727273,0.8,0.6666666666666666,0.8173076923076923,24.0,2.0,6.0,16.0,36,8,1,46.03174603174603,45.83333333333333
0.7916666666666666,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.625,0.8723776223776225,21.0,5.0,5.0,17.0,37,8,2,46.03174603174603,45.83333333333333
0.7446808510638298,0.7083333333333334,0.7727272727272727,0.7391304347826086,0.6808510638297872,0.7818181818181819,18.0,7.0,5.0,17.0,38,8,3,45.78947368421053,46.808510638297875
0.7872340425531915,0.8333333333333334,0.6818181818181818,0.75,0.8085106382978723,0.7336363636363636,22.0,3.0,7.0,15.0,39,8,4,45.78947368421053,46.808510638297875
0.723404255319149,0.6666666666666666,0.7619047619047619,0.7111111111111111,0.7021276595744681,0.7463369963369964,18.0,8.0,5.0,16.0,40,8,5,46.31578947368421,44.680851063829785
0.8958333333333334,0.84,0.9545454545454546,0.8936170212765957,0.1875,0.9606643356643356,22.0,4.0,1.0,21.0,41,9,1,46.03174603174603,45.83333333333333
0.8333333333333334,0.85,0.7727272727272727,0.8095238095238095,0.5833333333333334,0.8522727272727273,23.0,3.0,5.0,17.0,42,9,2,46.03174603174603,45.83333333333333
0.7446808510638298,0.7083333333333334,0.7727272727272727,0.7391304347826086,0.6808510638297872,0.7818181818181819,18.0,7.0,5.0,17.0,43,9,3,45.78947368421053,46.808510638297875
0.8297872340425532,0.8888888888888888,0.7272727272727273,0.8,0.6808510638297872,0.9063636363636364,23.0,2.0,6.0,16.0,44,9,4,45.78947368421053,46.808510638297875
0.7872340425531915,0.7894736842105263,0.7142857142857143,0.75,0.723404255319149,0.8434065934065934,22.0,4.0,6.0,15.0,45,9,5,46.31578947368421,44.680851063829785
0.8541666666666666,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.4791666666666667,0.8251748251748252,23.0,3.0,4.0,18.0,46,10,1,46.03174603174603,45.83333333333333
0.7083333333333334,0.7,0.6363636363636364,0.6666666666666666,0.9583333333333334,0.7526223776223777,20.0,6.0,8.0,14.0,47,10,2,46.03174603174603,45.83333333333333
0.7872340425531915,0.8,0.7272727272727273,0.7619047619047619,0.723404255319149,0.8154545454545455,21.0,4.0,6.0,16.0,48,10,3,45.78947368421053,46.808510638297875
0.723404255319149,0.7142857142857143,0.6818181818181818,0.6976744186046512,0.8723404255319149,0.7927272727272728,19.0,6.0,7.0,15.0,49,10,4,45.78947368421053,46.808510638297875
0.8297872340425532,0.8823529411764706,0.7142857142857143,0.7894736842105263,0.6808510638297872,0.8104395604395604,24.0,2.0,6.0,15.0,50,10,5,46.31578947368421,44.680851063829785
0.7291666666666666,0.8,0.5454545454545454,0.6486486486486487,1.1041666666666667,0.8269230769230769,23.0,3.0,10.0,12.0,51,11,1,46.03174603174603,45.83333333333333
0.7708333333333334,0.7037037037037037,0.8636363636363636,0.7755102040816326,0.4791666666666667,0.8129370629370629,18.0,8.0,3.0,19.0,52,11,2,46.03174603174603,45.83333333333333
0.8085106382978723,0.7407407407407407,0.9090909090909091,0.8163265306122449,0.3617021276595745,0.8854545454545454,18.0,7.0,2.0,20.0,53,11,3,45.78947368421053,46.808510638297875
0.7021276595744681,0.7222222222222222,0.5909090909090909,0.65,1.0638297872340425,0.78,20.0,5.0,9.0,13.0,54,11,4,45.78947368421053,46.808510638297875
0.7872340425531915,0.7894736842105263,0.7142857142857143,0.75,0.723404255319149,0.782051282051282,22.0,4.0,6.0,15.0,55,11,5,46.31578947368421,44.680851063829785
0.7708333333333334,0.7391304347826086,0.7727272727272727,0.7555555555555555,0.6458333333333334,0.854020979020979,20.0,6.0,5.0,17.0,56,12,1,46.03174603174603,45.83333333333333
0.8125,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.6875,0.8295454545454546,23.0,3.0,6.0,16.0,57,12,2,46.03174603174603,45.83333333333333
0.851063829787234,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.48936170212765956,0.8936363636363637,22.0,3.0,4.0,18.0,58,12,3,45.78947368421053,46.808510638297875
0.723404255319149,0.7142857142857143,0.6818181818181818,0.6976744186046512,0.8723404255319149,0.8272727272727273,19.0,6.0,7.0,15.0,59,12,4,45.78947368421053,46.808510638297875
0.723404255319149,0.7222222222222222,0.6190476190476191,0.6666666666666666,0.9574468085106383,0.7985347985347986,21.0,5.0,8.0,13.0,60,12,5,46.31578947368421,44.680851063829785
0.8125,0.8095238095238095,0.7727272727272727,0.7906976744186046,0.6041666666666666,0.9187062937062938,22.0,4.0,5.0,17.0,61,13,1,46.03174603174603,45.83333333333333
0.8541666666666666,0.9411764705882353,0.7272727272727273,0.8205128205128205,0.6458333333333334,0.896853146853147,25.0,1.0,6.0,16.0,62,13,2,46.03174603174603,45.83333333333333
0.6382978723404256,0.7272727272727273,0.36363636363636365,0.48484848484848486,1.553191489361702,0.6618181818181819,22.0,3.0,14.0,8.0,63,13,3,45.78947368421053,46.808510638297875
0.7872340425531915,0.8333333333333334,0.6818181818181818,0.75,0.8085106382978723,0.7554545454545455,22.0,3.0,7.0,15.0,64,13,4,45.78947368421053,46.808510638297875
0.8085106382978723,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.7021276595744681,0.8571428571428571,23.0,3.0,6.0,15.0,65,13,5,46.31578947368421,44.680851063829785
