metric,mean,std,min,max
accuracy,0.7764213947990544,0.0512818197847575,0.6170212765957447,0.8958333333333334
precision_condition_1,0.7864150175678394,0.081013886741364,0.6,1.0
recall_condition_1,0.7192929292929292,0.09535824132748816,0.36363636363636365,0.9545454545454546
f1_condition_1,0.7457909728882492,0.06271334883004119,0.48484848484848486,0.8936170212765957
roc_auc,0.8252730047730048,0.05494573082200171,0.6081818181818183,0.9606643356643356
medical_cost,0.7399379432624112,0.20902345148134632,0.1875,1.553191489361702
false_negatives,6.113333333333333,2.0677669006097545,1.0,14.0
false_positives,4.48,2.1354156504062622,0.0,11.0
